OPENADMET_CANONICAL_SMILES,PXR_pEC50,source,dataset,InChI
Cc1cc(C(=O)N[C@@H]2CC(C)(C)Oc3nc(-c4ccc(Cl)cc4Cl)c(-c4ccc(Cl)cc4)cc32)n[nH]1,5.3,ChEMBL,train,IDUFEEHNNASCMH-HSZRJFAPSA-N
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,4.5,ChEMBL,train,ZPBWCRDSRKPIDG-UHFFFAOYSA-N
Oc1c(Cl)cc(Cl)c2cccnc12,4.4,ChEMBL,train,WDFKMLRRRCGAKS-UHFFFAOYSA-N
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.5,ChEMBL,train,FAOZLTXFLGPHNG-KNAQIMQKSA-N
CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5.699999999999999,ChEMBL,train,QTTRZHGPGKRAFB-OOKHYKNYSA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.6,ChEMBL,train,ISHXLNHNDMZNMC-VTKCIJPMSA-N
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1.[Br-],4.95,ChEMBL,train,WBWDWFZTSDZAIG-UHFFFAOYSA-M
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl,5.025,ChEMBL,train,ALDJVABCVUVJGI-SRJUEMFDSA-N
C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+],5.19,ChEMBL,train,LYZGJWXNOGIVQA-UHFFFAOYSA-M
CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)[O-].[K+],5.2,ChEMBL,train,QRSPJBLLJXVPDD-XFAPPKAWSA-M
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@@H]2C[C@@H](O)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,4.8,ChEMBL,train,XDKMHMINQXATOR-RCFLUEAHSA-N
CC(C)=CCC1=C(O)[C@@]2(C(=O)C(C)C)C(=O)[C@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]2(C)CCC=C(C)C)C1=O,7.4,ChEMBL,train,IWBJJCOKGLUQIZ-HQKKAZOISA-N
CC[C@@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@H]32,4.875,ChEMBL,train,WYJAPUKIYAZSEM-RBUKOAKNSA-N
O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,4.1,ChEMBL,train,VPROQYQBNVRYST-UHFFFAOYSA-N
Nc1ccc(C(=O)Nc2ccccc2N)cc1,4.55,ChEMBL,train,QGMGHALXLXKCBD-UHFFFAOYSA-N
COc1ccccc1Nc1nc(NCCO)nc(N)c1[N+](=O)[O-],4.75,ChEMBL,train,FWHDLLWTESTDBL-UHFFFAOYSA-N
O=C(/C=C\c1cccs1)c1c(O)ccc2ccc(=O)oc12,4.18,ChEMBL,train,YIEQCEHJISSTDA-ALCCZGGFSA-N
O=C(Nc1ccccc1OC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.17,ChEMBL,train,KDSBZHUJTOUSRK-UHFFFAOYSA-N
Cc1cccc2cc3c(N)c(C(=O)N4CCOCC4)sc3nc12,4.16,ChEMBL,train,KIOQMKSRJBIIET-UHFFFAOYSA-N
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,5.0,ChEMBL,train,FSAVDKDHPDSCTO-XYOKQWHBSA-N
CCCc1nn(C)c(C(=O)Nc2cccc3ccccc23)c1Cl,4.41,ChEMBL,train,MGWYMWNIFOQFNG-UHFFFAOYSA-N
Cc1nc(N)nc(Nc2ccc(Cl)cc2)c1Br,4.01,ChEMBL,train,WLUWADRUYNDGJO-UHFFFAOYSA-N
